No,Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
108,1961,4,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,11,7,9,8,11,12,15,26,40,49,43,12,1,,,,,,,,,,,,
108,1961,4,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,15,6,3,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,21,3,4,2,,,,,,,,,,,,,,,,,,,,,
108,1961,4,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,3,2,6,5,,,,,,,,,,,,,,,,,,,,,
108,1961,5,4,3,3,4,10,20,30,10,7,53,36,44,50,33,27,16,10,16,15,6,7,1,,,
108,1961,5,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,7,2,4,6,,,,,,,,,,,,,,,,,,,,,
108,1961,5,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,10,4,26,16,10,20,1,1,1,1,,,,,,,,,,,,,,,
108,1961,5,11,2,6,2,1,9,4,1,1,36,5,1,,,,,,,,,,,,,
108,1961,5,12,1,2,1,,,,,,,,,,,,,,,,,,,,,
108,1961,5,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,18,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,28,5,17,12,4,113,49,100,83,85,52,70,26,22,16,2,,,,,,,,,
108,1961,5,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,3,9,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,4,33,22,25,27,10,9,1,,,,,,,,,,,,,,,,,
108,1961,6,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,8,6,12,25,9,9,19,,,,,,,,,,,,,,,,,,
108,1961,6,9,18,17,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,10,3,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,11,2,1,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,12,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,13,10,8,6,1,,,,,,,,,,,,,,,,,,,,
108,1961,6,14,4,6,3,1,,,,,,,,,,,,,,,,,,,,
108,1961,6,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,16,3,7,16,21,9,12,12,9,2,2,,,,,,,,,,,,,,
108,1961,6,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,19,2,1,1,1,,,,,,,,,,,,,,,,,,,,
108,1961,6,20,14,5,1,3,9,9,8,10,7,2,1,1,1,2,,,,,,,,,,
108,1961,6,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,23,2,11,7,1,1,1,6,,,,,,,,,,,,,,,,,
108,1961,6,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,26,19,1,165,16,1,2,15,,,,,,,,,,,,,,,,,
108,1961,6,27,1,9,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,28,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,6,29,1,4,6,2,1,1,8,6,10,1,,,,,,,,,,,,,,
108,1961,6,30,2,1,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,1,8,5,1,6,9,16,,,,,,,,,,,,,,,,,,
108,1961,7,2,32,9,4,38,6,3,1,19,,,,,,,,,,,,,,,,
108,1961,7,3,74,201,176,14,11,57,1,17,72,21,6,2,,,,,,,,,,,,
108,1961,7,4,5,2,1,1,,,,,,,,,,,,,,,,,,,,
108,1961,7,5,8,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,6,21,6,5,4,1,20,157,86,45,154,55,1,1,1,,,,,,,,,,
108,1961,7,7,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
108,1961,7,8,2,1,1,4,2,33,,,,,,,,,,,,,,,,,,
108,1961,7,9,1,3,7,,,,,,,,,,,,,,,,,,,,,
108,1961,7,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,11,1,2,4,,,,,,,,,,,,,,,,,,,,,
108,1961,7,12,11,5,5,9,4,2,55,3,2,3,15,,,,,,,,,,,,,
108,1961,7,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,14,7,305,236,18,3,2,1,2,2,22,,,,,,,,,,,,,,
108,1961,7,15,12,28,27,5,3,10,,,,,,,,,,,,,,,,,,
108,1961,7,16,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,24,7,4,5,5,,,,,,,,,,,,,,,,,,,,
108,1961,7,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,26,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,27,10,7,3,2,1,4,,,,,,,,,,,,,,,,,,
108,1961,7,28,19,16,13,50,30,33,8,96,20,14,21,19,31,,,,,,,,,,,
108,1961,7,29,3,4,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,7,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,3,2,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,4,7,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,5,3,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,8,227,42,45,60,77,10,2,,,,,,,,,,,,,,,,,
108,1961,8,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,10,8,3,1,,,,,,,,,,,,,,,,,,,,,
108,1961,8,11,13,1,11,7,3,207,7,72,2,1,2,9,26,,,,,,,,,,,
108,1961,8,12,18,46,51,35,141,76,5,5,53,6,37,6,239,43,,,,,,,,,,
108,1961,8,13,2,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,15,14,11,3,8,34,4,26,35,,,,,,,,,,,,,,,,
108,1961,8,16,13,33,3,8,148,122,35,8,3,2,1,15,10,41,27,12,5,,,,,,,
108,1961,8,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,20,5,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,21,13,4,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,23,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,24,1,2,3,120,54,45,6,1,1,1,,,,,,,,,,,,,,
108,1961,8,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,8,29,5,61,89,65,39,30,,,,,,,,,,,,,,,,,,
108,1961,8,30,5,7,10,57,26,18,9,7,15,215,16,3,34,1,6,8,8,29,86,28,17,,,
108,1961,8,31,8,25,2,27,57,17,27,28,28,1,1,2,,,,,,,,,,,,
